ID Number,Member,Supplier,Fusion21 Framework,Lot,Start Date,Contract Value FY2024/25,Delivery Postcode,Local Authority Code,Local Authority Name,ONS Region Code,Region Name,Latitude,Longitude,Synthetic Data
F21-SYN-0026,Demo Member 06-2,Demo Supplier 02,Construction Works,Lot 2,2024-05-07,2589000.0,CB1 1BH,E07000008,Cambridge,E12000006,East of England,52.215549,0.195486,True
F21-SYN-0027,Demo Member 06-1,Demo Supplier 03,Facilities Management,Lot 3,2024-07-10,5668000.0,CB1 1BH,E07000008,Cambridge,E12000006,East of England,52.133332,0.132631,True
F21-SYN-0028,Demo Member 07-1,Demo Supplier 04,Public Buildings,Lot 4,2024-09-13,5131000.0,EC1A 1BB,E09000001,City of London,E12000007,London,51.456189,-0.225496,True
F21-SYN-0029,Demo Member 07-2,Demo Supplier 05,Decarbonisation,Lot 1,2024-11-16,7803000.0,EC1A 1BB,E09000001,City of London,E12000007,London,51.537645,-0.087996,True
F21-SYN-0030,Demo Member 07-1,Demo Supplier 06,Construction Works,Lot 2,2024-01-19,7428000.0,EC1A 1BB,E09000001,City of London,E12000007,London,51.518372,-0.047905,True
F21-SYN-0031,Demo Member 07-2,Demo Supplier 07,Facilities Management,Lot 3,2024-03-22,9373000.0,EC1A 1BB,E09000001,City of London,E12000007,London,51.475545,-0.092604,True
F21-SYN-0032,Demo Member 07-1,Demo Supplier 08,Public Buildings,Lot 4,2024-05-01,7006000.0,EC1A 1BB,E09000001,City of London,E12000007,London,51.549727,-0.206307,True
F21-SYN-0033,Demo Member 07-2,Demo Supplier 09,Decarbonisation,Lot 1,2024-07-04,5462000.0,EC1A 1BB,E09000001,City of London,E12000007,London,51.540637,-0.173026,True
F21-SYN-0034,Demo Member 07-1,Demo Supplier 10,Construction Works,Lot 2,2024-09-07,3419000.0,EC1A 1BB,E09000001,City of London,E12000007,London,51.557015,-0.063452,True
F21-SYN-0035,Demo Member 08-1,Demo Supplier 11,Facilities Management,Lot 3,2024-11-10,3759000.0,GU1 1AA,E07000209,Guildford,E12000008,South East,51.261341,-0.56701,True
F21-SYN-0036,Demo Member 08-2,Demo Supplier 12,Public Buildings,Lot 4,2024-01-13,3718000.0,GU1 1AA,E07000209,Guildford,E12000008,South East,51.267334,-0.491247,True
F21-SYN-0037,Demo Member 08-1,Demo Supplier 01,Decarbonisation,Lot 1,2024-03-16,5036000.0,GU1 1AA,E07000209,Guildford,E12000008,South East,51.240302,-0.646523,True
F21-SYN-0038,Demo Member 08-2,Demo Supplier 02,Construction Works,Lot 2,2024-05-19,6557000.0,GU1 1AA,E07000209,Guildford,E12000008,South East,51.26128,-0.605797,True
F21-SYN-0039,Demo Member 08-1,Demo Supplier 03,Facilities Management,Lot 3,2024-07-22,7556000.0,GU1 1AA,E07000209,Guildford,E12000008,South East,51.267954,-0.634288,True
F21-SYN-0040,Demo Member 08-2,Demo Supplier 04,Public Buildings,Lot 4,2024-09-01,3954000.0,GU1 1AA,E07000209,Guildford,E12000008,South East,51.226739,-0.483065,True
F21-SYN-0041,Demo Member 08-1,Demo Supplier 05,Decarbonisation,Lot 1,2024-11-04,5781000.0,GU1 1AA,E07000209,Guildford,E12000008,South East,51.225041,-0.630765,True
F21-SYN-0042,Demo Member 09-1,Demo Supplier 06,Construction Works,Lot 2,2024-01-07,5077000.0,BS1 1AA,E06000023,"Bristol, City of",E12000009,South West,51.401799,-2.613645,True
F21-SYN-0043,Demo Member 09-2,Demo Supplier 07,Facilities Management,Lot 3,2024-03-10,4503000.0,BS1 1AA,E06000023,"Bristol, City of",E12000009,South West,51.487976,-2.623877,True
F21-SYN-0044,Demo Member 09-1,Demo Supplier 08,Public Buildings,Lot 4,2024-05-13,4170000.0,BS1 1AA,E06000023,"Bristol, City of",E12000009,South West,51.41419,-2.579031,True
F21-SYN-0045,Demo Member 09-2,Demo Supplier 09,Decarbonisation,Lot 1,2024-07-16,4815000.0,BS1 1AA,E06000023,"Bristol, City of",E12000009,South West,51.525864,-2.578839,True
